spatial id,temporal id,Target (normal),Normal target,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
6,51,1.0,1.0,1,0,0,0,0
1,52,1.0,1.0,1,1,1,0,0
2,52,0.0,0.0,0,0,0,0,0
5,52,1.0,1.0,1,0,1,0,0
6,52,1.0,1.0,0,0,0,0,0
1,53,0.0,0.0,1,1,0,0,0
2,53,0.0,0.0,0,0,0,0,0
5,53,1.0,1.0,0,1,0,0,0
6,53,0.0,0.0,0,0,0,0,1
1,54,0.0,0.0,1,0,0,0,1
2,54,1.0,1.0,0,0,0,0,0
5,54,1.0,1.0,1,0,0,0,1
6,54,1.0,1.0,0,0,0,1,1
1,55,1.0,1.0,0,0,0,1,0
2,55,0.0,0.0,0,0,0,0,0
5,55,1.0,1.0,0,0,0,1,1
6,55,0.0,0.0,0,0,1,1,0
1,56,1.0,1.0,0,0,1,0,0
2,56,0.0,0.0,0,0,0,0,1
5,56,0.0,0.0,0,0,1,1,1
6,56,1.0,1.0,0,1,1,0,1
1,57,0.0,0.0,0,1,0,0,1
2,57,1.0,1.0,0,0,0,1,0
5,57,0.0,0.0,0,1,1,1,1
6,57,1.0,1.0,1,1,0,1,0
1,58,0.0,0.0,1,0,0,1,1
2,58,0.0,0.0,0,0,1,0,0
5,58,0.0,0.0,1,1,1,1,0
6,58,1.0,1.0,1,0,1,0,1
1,59,0.0,0.0,0,0,1,1,0
2,59,1.0,1.0,0,1,0,0,1
5,59,0.0,0.0,1,1,1,0,0
6,59,1.0,1.0,0,1,0,1,1
1,60,1.0,1.0,0,1,1,0,0
2,60,0.0,0.0,1,0,0,1,0
5,60,0.0,0.0,1,1,0,0,0
6,60,1.0,1.0,1,0,1,1,1
1,61,1.0,1.0,1,1,0,0,0
2,61,0.0,0.0,0,0,1,0,1
5,61,0.0,0.0,1,0,0,0,0
6,61,1.0,1.0,0,1,1,1,1
1,62,1.0,1.0,1,0,0,0,1
2,62,1.0,1.0,0,1,0,1,0
5,62,0.0,0.0,0,0,0,0,0
6,62,1.0,1.0,1,1,1,1,1
1,63,1.0,1.0,0,0,0,1,1
2,63,1.0,1.0,1,0,1,0,0
5,63,0.0,0.0,0,0,0,0,0
6,63,0.0,0.0,1,1,1,1,1
1,64,1.0,1.0,0,0,1,1,1
2,64,1.0,1.0,0,1,0,0,1
5,64,0.0,0.0,0,0,0,0,0
6,64,0.0,0.0,1,1,1,1,1
1,65,1.0,1.0,0,1,1,1,1
2,65,1.0,1.0,1,0,0,1,1
5,65,0.0,0.0,0,0,0,0,0
6,65,1.0,1.0,1,1,1,1,0
1,66,0.0,0.0,1,1,1,1,1
2,66,0.0,0.0,0,0,1,1,1
5,66,0.0,0.0,0,0,0,0,0
6,66,1.0,1.0,1,1,1,0,0
1,67,0.0,0.0,1,1,1,1,1
2,67,0.0,0.0,0,1,1,1,1
5,67,0.0,0.0,0,0,0,0,0
6,67,0.0,0.0,1,1,0,0,1
1,68,0.0,0.0,1,1,1,1,0
2,68,0.0,0.0,1,1,1,1,0
5,68,1.0,1.0,0,0,0,0,0
6,68,1.0,1.0,1,0,0,1,1
1,69,0.0,0.0,1,1,1,0,0
2,69,0.0,0.0,1,1,1,0,0
5,69,1.0,1.0,0,0,0,0,0
6,69,0.0,0.0,0,0,1,1,0
1,70,1.0,1.0,1,1,0,0,0
2,70,1.0,1.0,1,1,0,0,0
5,70,1.0,1.0,0,0,0,0,1
6,70,1.0,1.0,0,1,1,0,1
1,71,1.0,1.0,1,0,0,0,0
2,71,0.0,0.0,1,0,0,0,0
5,71,0.0,0.0,0,0,0,1,1
6,71,0.0,0.0,1,1,0,1,0
1,72,0.0,0.0,0,0,0,0,1
2,72,0.0,0.0,0,0,0,0,1
5,72,0.0,0.0,0,0,1,1,1
6,72,0.0,0.0,1,0,1,0,1
1,73,1.0,1.0,0,0,0,1,1
2,73,1.0,1.0,0,0,0,1,0
5,73,0.0,0.0,0,1,1,1,0
6,73,0.0,0.0,0,1,0,1,0
1,74,1.0,1.0,0,0,1,1,0
2,74,1.0,1.0,0,0,1,0,0
5,74,1.0,1.0,1,1,1,0,0
6,74,0.0,0.0,1,0,1,0,0
1,75,1.0,1.0,0,1,1,0,1
2,75,1.0,1.0,0,1,0,0,1
5,75,1.0,1.0,1,1,0,0,0
6,75,0.0,0.0,0,1,0,0,0
1,76,1.0,1.0,1,1,0,1,1
2,76,0.0,0.0,1,0,0,1,1
5,76,1.0,1.0,1,0,0,0,1
6,76,0.0,0.0,1,0,0,0,0
1,77,1.0,1.0,1,0,1,1,1
2,77,1.0,1.0,0,0,1,1,1
5,77,0.0,0.0,0,0,0,1,1
6,77,1.0,1.0,0,0,0,0,0
1,78,1.0,1.0,0,1,1,1,1
2,78,0.0,0.0,0,1,1,1,0
5,78,1.0,1.0,0,0,1,1,1
6,78,1.0,1.0,0,0,0,0,0
1,79,1.0,1.0,1,1,1,1,1
2,79,0.0,0.0,1,1,1,0,1
5,79,0.0,0.0,0,1,1,1,0
6,79,1.0,1.0,0,0,0,0,1
1,80,0.0,0.0,1,1,1,1,1
2,80,1.0,1.0,1,1,0,1,0
5,80,1.0,1.0,1,1,1,0,1
6,80,1.0,1.0,0,0,0,1,1
1,81,0.0,0.0,1,1,1,1,1
2,81,1.0,1.0,1,0,1,0,0
5,81,1.0,1.0,1,1,0,1,0
6,81,1.0,1.0,0,0,1,1,1
1,82,1.0,1.0,1,1,1,1,0
2,82,1.0,1.0,0,1,0,0,1
5,82,1.0,1.0,1,0,1,0,1
6,82,1.0,1.0,0,1,1,1,1
1,83,1.0,1.0,1,1,1,0,0
2,83,1.0,1.0,1,0,0,1,1
5,83,1.0,1.0,0,1,0,1,1
6,83,1.0,1.0,1,1,1,1,1
1,84,1.0,1.0,1,1,0,0,1
2,84,1.0,1.0,0,0,1,1,1
5,84,1.0,1.0,1,0,1,1,1
6,84,1.0,1.0,1,1,1,1,1
1,85,0.0,0.0,1,0,0,1,1
2,85,1.0,1.0,0,1,1,1,1
5,85,0.0,0.0,0,1,1,1,1
6,85,1.0,1.0,1,1,1,1,1
1,86,1.0,1.0,0,0,1,1,1
2,86,1.0,1.0,1,1,1,1,1
5,86,1.0,1.0,1,1,1,1,1
6,86,1.0,1.0,1,1,1,1,1
1,87,0.0,0.0,0,1,1,1,0
2,87,1.0,1.0,1,1,1,1,1
5,87,0.0,0.0,1,1,1,1,0
6,87,0.0,0.0,1,1,1,1,1
1,88,0.0,0.0,1,1,1,0,1
2,88,1.0,1.0,1,1,1,1,1
5,88,1.0,1.0,1,1,1,0,1
6,88,0.0,0.0,1,1,1,1,1
1,89,0.0,0.0,1,1,0,1,0
2,89,1.0,1.0,1,1,1,1,1
5,89,0.0,0.0,1,1,0,1,0
6,89,1.0,1.0,1,1,1,1,0
1,90,0.0,0.0,1,0,1,0,0
2,90,1.0,1.0,1,1,1,1,1
5,90,0.0,0.0,1,0,1,0,1
6,90,1.0,1.0,1,1,1,0,0
1,91,0.0,0.0,0,1,0,0,0
