spatial id,temporal id,Target (normal),Normal target,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,328,1.0,1.0,0,1,0,1,1,0,1,1
3,329,0.0,0.0,1,0,1,1,0,1,1,0
3,330,1.0,1.0,0,1,1,0,1,1,0,0
3,331,1.0,1.0,1,1,0,1,1,0,0,0
3,332,0.0,0.0,1,0,1,1,0,0,0,1
3,333,0.0,0.0,0,1,1,0,0,0,1,0
3,334,1.0,1.0,1,1,0,0,0,1,0,1
3,335,1.0,1.0,1,0,0,0,1,0,1,1
3,336,0.0,0.0,0,0,0,1,0,1,1,1
3,337,1.0,1.0,0,0,1,0,1,1,1,0
3,338,0.0,0.0,0,1,0,1,1,1,0,0
3,339,0.0,0.0,1,0,1,1,1,0,0,1
3,340,1.0,1.0,0,1,1,1,0,0,1,1
3,341,0.0,0.0,1,1,1,0,0,1,1,0
3,342,1.0,1.0,1,1,0,0,1,1,0,1
3,343,1.0,1.0,1,0,0,1,1,0,1,1
3,344,1.0,1.0,0,0,1,1,0,1,1,0
3,345,0.0,0.0,0,1,1,0,1,1,0,0
3,346,1.0,1.0,1,1,0,1,1,0,0,1
3,347,1.0,1.0,1,0,1,1,0,0,1,1
3,348,1.0,1.0,0,1,1,0,0,1,1,0
3,349,1.0,1.0,1,1,0,0,1,1,0,1
3,350,1.0,1.0,1,0,0,1,1,0,1,0
3,351,1.0,1.0,0,0,1,1,0,1,0,0
3,352,1.0,1.0,0,1,1,0,1,0,0,1
3,353,0.0,0.0,1,1,0,1,0,0,1,0
3,354,1.0,1.0,1,0,1,0,0,1,0,1
3,355,1.0,1.0,0,1,0,0,1,0,1,1
3,356,1.0,1.0,1,0,0,1,0,1,1,1
3,357,0.0,0.0,0,0,1,0,1,1,1,0
3,358,1.0,1.0,0,1,0,1,1,1,0,1
3,359,0.0,0.0,1,0,1,1,1,0,1,1
3,360,1.0,1.0,0,1,1,1,0,1,1,1
3,361,1.0,1.0,1,1,1,0,1,1,1,1
3,362,1.0,1.0,1,1,0,1,1,1,1,1
3,363,1.0,1.0,1,0,1,1,1,1,1,1
3,364,0.0,0.0,0,1,1,1,1,1,1,1
3,365,1.0,1.0,1,1,1,1,1,1,1,0
3,366,0.0,0.0,1,1,1,1,1,1,0,1
3,367,0.0,0.0,1,1,1,1,1,0,1,1
3,368,0.0,0.0,1,1,1,1,0,1,1,1
3,369,1.0,1.0,1,1,1,0,1,1,1,0
3,370,1.0,1.0,1,1,0,1,1,1,0,1
3,371,1.0,1.0,1,0,1,1,1,0,1,0
3,372,1.0,1.0,0,1,1,1,0,1,0,1
3,373,1.0,1.0,1,1,1,0,1,0,1,1
3,374,1.0,1.0,1,1,0,1,0,1,1,1
3,375,1.0,1.0,1,0,1,0,1,1,1,1
3,376,0.0,0.0,0,1,0,1,1,1,1,0
3,377,0.0,0.0,1,0,1,1,1,1,0,1
3,378,1.0,1.0,0,1,1,1,1,0,1,0
3,379,1.0,1.0,1,1,1,1,0,1,0,0
3,380,1.0,1.0,1,1,1,0,1,0,0,0
3,381,0.0,0.0,1,1,0,1,0,0,0,1
3,382,0.0,0.0,1,0,1,0,0,0,1,1
3,383,1.0,1.0,0,1,0,0,0,1,1,1
3,384,1.0,1.0,1,0,0,0,1,1,1,1
3,385,0.0,0.0,0,0,0,1,1,1,1,1
3,386,0.0,0.0,0,0,1,1,1,1,1,1
3,387,1.0,1.0,0,1,1,1,1,1,1,1
3,388,0.0,0.0,1,1,1,1,1,1,1,0
3,389,1.0,1.0,1,1,1,1,1,1,0,0
3,390,0.0,0.0,1,1,1,1,1,0,0,1
3,391,0.0,0.0,1,1,1,1,0,0,1,1
3,392,0.0,0.0,1,1,1,0,0,1,1,1
3,393,0.0,0.0,1,1,0,0,1,1,1,0
3,394,0.0,0.0,1,0,0,1,1,1,0,0
3,395,0.0,0.0,0,0,1,1,1,0,0,1
3,396,0.0,0.0,0,1,1,1,0,0,1,1
3,397,1.0,1.0,1,1,1,0,0,1,1,0
3,398,0.0,0.0,1,1,0,0,1,1,0,0
3,399,0.0,0.0,1,0,0,1,1,0,0,1
3,400,0.0,0.0,0,0,1,1,0,0,1,0
3,401,0.0,0.0,0,1,1,0,0,1,0,1
3,402,0.0,0.0,1,1,0,0,1,0,1,0
3,403,1.0,1.0,1,0,0,1,0,1,0,0
3,404,0.0,0.0,0,0,1,0,1,0,0,0
3,405,0.0,0.0,0,1,0,1,0,0,0,0
3,406,1.0,1.0,1,0,1,0,0,0,0,0
3,407,0.0,0.0,0,1,0,0,0,0,0,0
3,408,0.0,0.0,1,0,0,0,0,0,0,0
3,409,0.0,0.0,0,0,0,0,0,0,0,1
3,410,1.0,1.0,0,0,0,0,0,0,1,0
3,411,1.0,1.0,0,0,0,0,0,1,0,0
3,412,0.0,0.0,0,0,0,0,1,0,0,0
3,413,0.0,0.0,0,0,0,1,0,0,0,0
3,414,1.0,1.0,0,0,1,0,0,0,0,0
3,415,1.0,1.0,0,1,0,0,0,0,0,1
3,416,1.0,1.0,1,0,0,0,0,0,1,0
3,417,1.0,1.0,0,0,0,0,0,1,0,0
3,418,1.0,1.0,0,0,0,0,1,0,0,1
3,419,1.0,1.0,0,0,0,1,0,0,1,0
3,420,0.0,0.0,0,0,1,0,0,1,0,0
3,421,0.0,0.0,0,1,0,0,1,0,0,0
3,422,0.0,0.0,1,0,0,1,0,0,0,1
3,423,0.0,0.0,0,0,1,0,0,0,1,1
3,424,1.0,1.0,0,1,0,0,0,1,1,0
3,425,1.0,1.0,1,0,0,0,1,1,0,0
3,426,1.0,1.0,0,0,0,1,1,0,0,1
3,427,1.0,1.0,0,0,1,1,0,0,1,1
3,428,0.0,0.0,0,1,1,0,0,1,1,1
3,429,0.0,0.0,1,1,0,0,1,1,1,1
3,430,0.0,0.0,1,0,0,1,1,1,1,1
3,431,1.0,1.0,0,0,1,1,1,1,1,1
3,432,1.0,1.0,0,1,1,1,1,1,1,0
3,433,0.0,0.0,1,1,1,1,1,1,0,0
3,434,0.0,0.0,1,1,1,1,1,0,0,0
3,435,0.0,0.0,1,1,1,1,0,0,0,0
3,436,1.0,1.0,1,1,1,0,0,0,0,1
3,437,1.0,1.0,1,1,0,0,0,0,1,1
3,438,0.0,0.0,1,0,0,0,0,1,1,1
3,439,1.0,1.0,0,0,0,0,1,1,1,1
3,440,1.0,1.0,0,0,0,1,1,1,1,0
3,441,0.0,0.0,0,0,1,1,1,1,0,0
3,442,1.0,1.0,0,1,1,1,1,0,0,0
3,443,0.0,0.0,1,1,1,1,0,0,0,1
3,444,1.0,1.0,1,1,1,0,0,0,1,1
3,445,0.0,0.0,1,1,0,0,0,1,1,0
3,446,0.0,0.0,1,0,0,0,1,1,0,0
3,447,0.0,0.0,0,0,0,1,1,0,0,0
3,448,1.0,1.0,0,0,1,1,0,0,0,1
3,449,1.0,1.0,0,1,1,0,0,0,1,1
3,450,1.0,1.0,1,1,0,0,0,1,1,0
3,451,1.0,1.0,1,0,0,0,1,1,0,1
3,452,0.0,0.0,0,0,0,1,1,0,1,1
3,453,1.0,1.0,0,0,1,1,0,1,1,0
3,454,0.0,0.0,0,1,1,0,1,1,0,1
3,455,1.0,1.0,1,1,0,1,1,0,1,0
3,456,0.0,0.0,1,0,1,1,0,1,0,1
3,457,1.0,1.0,0,1,1,0,1,0,1,0
3,458,1.0,1.0,1,1,0,1,0,1,0,0
3,459,1.0,1.0,1,0,1,0,1,0,0,0
3,460,0.0,0.0,0,1,0,1,0,0,0,1
3,461,1.0,1.0,1,0,1,0,0,0,1,1
3,462,0.0,0.0,0,1,0,0,0,1,1,1
3,463,0.0,0.0,1,0,0,0,1,1,1,1
