spatial id,temporal id,Target (normal),Normal target,occurrence t-9,occurrence t-8,occurrence t-7,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
6,54,1.0,1.0,1,1,1,0,0,0,0,0,1,1
1,55,1.0,1.0,1,0,1,1,1,0,0,0,1,0
2,55,1.0,1.0,0,0,0,0,0,0,0,0,0,0
5,55,0.0,0.0,0,0,1,0,1,0,0,0,1,1
6,55,1.0,1.0,1,1,0,0,0,0,0,1,1,0
1,56,1.0,1.0,0,1,1,1,0,0,0,1,0,0
2,56,1.0,1.0,0,0,0,0,0,0,0,0,0,1
5,56,0.0,0.0,0,1,0,1,0,0,0,1,1,1
6,56,0.0,0.0,1,0,0,0,0,0,1,1,0,1
1,57,1.0,1.0,1,1,1,0,0,0,1,0,0,1
2,57,1.0,1.0,0,0,0,0,0,0,0,0,1,0
5,57,0.0,0.0,1,0,1,0,0,0,1,1,1,1
6,57,0.0,0.0,0,0,0,0,0,1,1,0,1,0
1,58,1.0,1.0,1,1,0,0,0,1,0,0,1,1
2,58,1.0,1.0,0,0,0,0,0,0,0,1,0,0
5,58,0.0,0.0,0,1,0,0,0,1,1,1,1,0
6,58,1.0,1.0,0,0,0,0,1,1,0,1,0,1
1,59,0.0,0.0,1,0,0,0,1,0,0,1,1,0
2,59,0.0,0.0,0,0,0,0,0,0,1,0,0,1
5,59,0.0,0.0,1,0,0,0,1,1,1,1,0,0
6,59,1.0,1.0,0,0,0,1,1,0,1,0,1,1
1,60,0.0,0.0,0,0,0,1,0,0,1,1,0,0
2,60,0.0,0.0,0,0,0,0,0,1,0,0,1,0
5,60,0.0,0.0,0,0,0,1,1,1,1,0,0,0
6,60,0.0,0.0,0,0,1,1,0,1,0,1,1,1
1,61,0.0,0.0,0,0,1,0,0,1,1,0,0,0
2,61,0.0,0.0,0,0,0,0,1,0,0,1,0,1
5,61,1.0,1.0,0,0,1,1,1,1,0,0,0,0
6,61,1.0,1.0,0,1,1,0,1,0,1,1,1,1
1,62,0.0,0.0,0,1,0,0,1,1,0,0,0,1
2,62,0.0,0.0,0,0,0,1,0,0,1,0,1,0
5,62,1.0,1.0,0,1,1,1,1,0,0,0,0,0
6,62,0.0,0.0,1,1,0,1,0,1,1,1,1,1
