spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
7,30,0.0,0.0,0,0,0,0,0,0,0
8,30,0.0,0.0,0,0,0,0,0,0,0
9,30,0.0,0.0,0,0,0,0,0,0,0
1,31,1.0,1.0,0,0,0,0,1,0,0
2,31,1.0,1.0,0,1,0,0,0,0,0
3,31,0.0,0.0,0,0,0,0,0,1,0
4,31,0.0,0.0,0,0,0,0,0,0,0
5,31,1.0,1.0,0,0,1,0,0,0,0
6,31,1.0,1.0,0,0,1,1,0,0,0
7,31,0.0,0.0,0,0,0,0,0,0,0
8,31,0.0,0.0,0,0,0,0,0,0,0
9,31,1.0,1.0,0,0,0,0,0,0,0
1,32,0.0,0.0,0,0,0,1,0,0,1
2,32,0.0,0.0,1,0,0,0,0,0,0
3,32,0.0,0.0,0,0,0,0,1,0,0
4,32,0.0,0.0,0,0,0,0,0,0,0
5,32,0.0,0.0,0,1,0,0,0,0,0
6,32,0.0,0.0,0,1,1,0,0,0,0
7,32,0.0,0.0,0,0,0,0,0,0,0
8,32,0.0,0.0,0,0,0,0,0,0,0
9,32,0.0,0.0,0,0,0,0,0,0,0
1,33,0.0,0.0,0,0,1,0,0,1,1
2,33,0.0,0.0,0,0,0,0,0,0,1
3,33,0.0,0.0,0,0,0,1,0,0,0
4,33,0.0,0.0,0,0,0,0,0,0,0
5,33,0.0,0.0,1,0,0,0,0,0,1
6,33,1.0,1.0,1,1,0,0,0,0,1
7,33,0.0,0.0,0,0,0,0,0,0,0
8,33,0.0,0.0,0,0,0,0,0,0,0
9,33,0.0,0.0,0,0,0,0,0,0,0
1,34,1.0,1.0,0,1,0,0,1,1,1
2,34,0.0,0.0,0,0,0,0,0,1,0
3,34,0.0,0.0,0,0,1,0,0,0,0
4,34,0.0,0.0,0,0,0,0,0,0,0
5,34,0.0,0.0,0,0,0,0,0,1,0
6,34,1.0,1.0,1,0,0,0,0,1,0
7,34,0.0,0.0,0,0,0,0,0,0,0
8,34,0.0,0.0,0,0,0,0,0,0,0
9,34,0.0,0.0,0,0,0,0,0,0,0
1,35,1.0,1.0,1,0,0,1,1,1,0
2,35,0.0,0.0,0,0,0,0,1,0,0
3,35,1.0,1.0,0,1,0,0,0,0,0
4,35,0.0,0.0,0,0,0,0,0,0,0
5,35,0.0,0.0,0,0,0,0,1,0,1
6,35,1.0,1.0,0,0,0,0,1,0,1
7,35,0.0,0.0,0,0,0,0,0,0,0
8,35,0.0,0.0,0,0,0,0,0,0,0
9,35,0.0,0.0,0,0,0,0,0,0,0
