spatial id,temporal id,Target (normal),Normal target,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
7,38,0.0,0.0,0,0,0,0,0,0
8,38,0.0,0.0,0,0,0,0,0,0
9,38,0.0,0.0,0,0,0,0,0,0
4,39,0.0,0.0,0,0,0,0,0,0
7,39,0.0,0.0,0,0,0,0,0,0
8,39,0.0,0.0,0,0,0,0,0,0
9,39,1.0,1.0,0,0,0,0,0,0
4,40,0.0,0.0,0,0,0,0,0,0
7,40,0.0,0.0,0,0,0,0,0,0
8,40,0.0,0.0,0,0,0,0,0,0
9,40,0.0,0.0,0,0,0,0,0,0
4,41,0.0,0.0,0,0,0,0,0,0
7,41,0.0,0.0,0,0,0,0,0,0
8,41,0.0,0.0,0,0,0,0,0,0
9,41,0.0,0.0,0,0,0,0,0,0
4,42,0.0,0.0,0,0,0,0,0,0
7,42,0.0,0.0,0,0,0,0,0,0
8,42,0.0,0.0,0,0,0,0,0,0
9,42,0.0,0.0,0,0,0,0,0,1
4,43,0.0,0.0,0,0,0,0,0,0
7,43,0.0,0.0,0,0,0,0,0,0
8,43,0.0,0.0,0,0,0,0,0,0
9,43,0.0,0.0,0,0,0,0,1,0
4,44,0.0,0.0,0,0,0,0,0,0
7,44,0.0,0.0,0,0,0,0,0,0
8,44,0.0,0.0,0,0,0,0,0,0
9,44,0.0,0.0,0,0,0,1,0,0
4,45,0.0,0.0,0,0,0,0,0,0
7,45,0.0,0.0,0,0,0,0,0,0
8,45,0.0,0.0,0,0,0,0,0,0
9,45,0.0,0.0,0,0,1,0,0,0
4,46,0.0,0.0,0,0,0,0,0,0
7,46,0.0,0.0,0,0,0,0,0,0
8,46,0.0,0.0,0,0,0,0,0,0
9,46,0.0,0.0,0,1,0,0,0,0
4,47,0.0,0.0,0,0,0,0,0,0
7,47,0.0,0.0,0,0,0,0,0,0
8,47,0.0,0.0,0,0,0,0,0,0
9,47,0.0,0.0,1,0,0,0,0,0
4,48,0.0,0.0,0,0,0,0,0,0
7,48,0.0,0.0,0,0,0,0,0,0
8,48,1.0,1.0,0,0,0,0,0,0
9,48,0.0,0.0,0,0,0,0,0,0
4,49,0.0,0.0,0,0,0,0,0,0
7,49,0.0,0.0,0,0,0,0,0,0
8,49,0.0,0.0,0,0,0,0,0,0
