spatial id,temporal id,Target (normal),Normal target,occurrence t
3,337,1.0,1.0,0
3,338,0.0,0.0,0
3,339,0.0,0.0,1
3,340,1.0,1.0,1
3,341,1.0,1.0,0
3,342,0.0,0.0,1
3,343,1.0,1.0,1
3,344,0.0,0.0,0
3,345,0.0,0.0,0
3,346,1.0,1.0,1
3,347,0.0,0.0,1
3,348,1.0,1.0,0
3,349,1.0,1.0,1
3,350,1.0,1.0,0
3,351,0.0,0.0,0
3,352,1.0,1.0,1
3,353,1.0,1.0,0
3,354,1.0,1.0,1
3,355,1.0,1.0,1
3,356,1.0,1.0,1
3,357,1.0,1.0,0
3,358,1.0,1.0,1
3,359,0.0,0.0,1
3,360,1.0,1.0,1
3,361,1.0,1.0,1
3,362,1.0,1.0,1
3,363,0.0,0.0,1
3,364,1.0,1.0,1
3,365,0.0,0.0,0
3,366,1.0,1.0,1
3,367,1.0,1.0,1
3,368,1.0,1.0,1
3,369,1.0,1.0,0
3,370,0.0,0.0,1
3,371,1.0,1.0,0
3,372,0.0,0.0,1
3,373,0.0,0.0,1
3,374,0.0,0.0,1
3,375,1.0,1.0,1
3,376,1.0,1.0,0
3,377,1.0,1.0,1
3,378,1.0,1.0,0
3,379,1.0,1.0,0
3,380,1.0,1.0,0
3,381,1.0,1.0,1
3,382,0.0,0.0,1
3,383,0.0,0.0,1
3,384,1.0,1.0,1
3,385,1.0,1.0,1
3,386,1.0,1.0,1
3,387,0.0,0.0,1
3,388,0.0,0.0,0
3,389,1.0,1.0,0
3,390,1.0,1.0,1
3,391,0.0,0.0,1
3,392,0.0,0.0,1
3,393,1.0,1.0,0
3,394,0.0,0.0,0
3,395,1.0,1.0,1
3,396,0.0,0.0,1
3,397,0.0,0.0,0
3,398,0.0,0.0,0
3,399,0.0,0.0,1
3,400,0.0,0.0,0
3,401,0.0,0.0,1
3,402,0.0,0.0,0
3,403,1.0,1.0,0
3,404,0.0,0.0,0
3,405,0.0,0.0,0
3,406,0.0,0.0,0
3,407,0.0,0.0,0
3,408,0.0,0.0,0
3,409,1.0,1.0,1
3,410,0.0,0.0,0
3,411,0.0,0.0,0
3,412,1.0,1.0,0
3,413,0.0,0.0,0
3,414,0.0,0.0,0
3,415,0.0,0.0,1
3,416,1.0,1.0,0
3,417,1.0,1.0,0
3,418,0.0,0.0,1
3,419,0.0,0.0,0
3,420,1.0,1.0,0
3,421,1.0,1.0,0
3,422,1.0,1.0,1
3,423,1.0,1.0,1
3,424,1.0,1.0,0
3,425,1.0,1.0,0
3,426,0.0,0.0,1
3,427,0.0,0.0,1
3,428,0.0,0.0,1
3,429,0.0,0.0,1
3,430,1.0,1.0,1
3,431,1.0,1.0,1
3,432,1.0,1.0,0
3,433,1.0,1.0,0
3,434,0.0,0.0,0
3,435,0.0,0.0,0
3,436,0.0,0.0,1
3,437,1.0,1.0,1
3,438,1.0,1.0,1
3,439,0.0,0.0,1
3,440,0.0,0.0,0
3,441,0.0,0.0,0
3,442,1.0,1.0,0
3,443,1.0,1.0,1
3,444,0.0,0.0,1
3,445,1.0,1.0,0
3,446,1.0,1.0,0
3,447,0.0,0.0,0
3,448,1.0,1.0,1
3,449,0.0,0.0,1
3,450,1.0,1.0,0
3,451,0.0,0.0,1
3,452,0.0,0.0,1
3,453,0.0,0.0,0
3,454,1.0,1.0,1
3,455,1.0,1.0,0
3,456,1.0,1.0,1
3,457,1.0,1.0,0
3,458,0.0,0.0,0
3,459,1.0,1.0,0
3,460,0.0,0.0,1
3,461,1.0,1.0,1
3,462,0.0,0.0,1
3,463,1.0,1.0,1
3,464,1.0,1.0,0
3,465,1.0,1.0,1
3,466,0.0,0.0,0
3,467,1.0,1.0,1
3,468,0.0,0.0,0
3,469,0.0,0.0,1
3,470,1.0,1.0,1
3,471,0.0,0.0,1
3,472,0.0,0.0,0
3,473,1.0,1.0,1
3,474,1.0,1.0,0
3,475,0.0,0.0,0
3,476,0.0,0.0,1
3,477,0.0,0.0,0
3,478,0.0,0.0,0
3,479,1.0,1.0,1
3,480,1.0,1.0,1
3,481,0.0,0.0,0
3,482,1.0,1.0,0
3,483,0.0,0.0,0
3,484,0.0,0.0,0
3,485,1.0,1.0,1
3,486,0.0,0.0,1
3,487,1.0,1.0,0
3,488,1.0,1.0,1
3,489,0.0,0.0,0
3,490,0.0,0.0,0
3,491,0.0,0.0,1
3,492,1.0,1.0,0
3,493,0.0,0.0,1
3,494,0.0,0.0,1
3,495,1.0,1.0,0
3,496,0.0,0.0,0
3,497,0.0,0.0,0
3,498,1.0,1.0,1
3,499,0.0,0.0,0
3,500,1.0,1.0,0
3,501,1.0,1.0,1
3,502,0.0,0.0,0
3,503,0.0,0.0,0
3,504,0.0,0.0,1
3,505,0.0,0.0,0
3,506,0.0,0.0,1
3,507,0.0,0.0,1
3,508,0.0,0.0,0
3,509,0.0,0.0,0
3,510,0.0,0.0,0
3,511,1.0,1.0,0
3,512,1.0,1.0,0
3,513,0.0,0.0,0
3,514,1.0,1.0,0
3,515,1.0,1.0,0
3,516,0.0,0.0,0
3,517,0.0,0.0,1
3,518,1.0,1.0,1
3,519,1.0,1.0,0
3,520,1.0,1.0,1
3,521,0.0,0.0,1
3,522,0.0,0.0,0
3,523,1.0,1.0,0
3,524,0.0,0.0,1
3,525,0.0,0.0,1
3,526,0.0,0.0,1
3,527,1.0,1.0,0
3,528,0.0,0.0,0
3,529,1.0,1.0,1
3,530,1.0,1.0,0
3,531,1.0,1.0,0
3,532,0.0,0.0,0
3,533,0.0,0.0,1
3,534,1.0,1.0,0
3,535,0.0,0.0,1
3,536,0.0,0.0,1
3,537,0.0,0.0,1
3,538,0.0,0.0,0
3,539,0.0,0.0,0
3,540,1.0,1.0,1
3,541,0.0,0.0,0
3,542,0.0,0.0,0
3,543,1.0,1.0,0
3,544,1.0,1.0,0
3,545,1.0,1.0,0
3,546,1.0,1.0,1
3,547,1.0,1.0,0
3,548,1.0,1.0,0
3,549,0.0,0.0,1
3,550,1.0,1.0,1
3,551,0.0,0.0,1
3,552,1.0,1.0,1
3,553,1.0,1.0,1
3,554,0.0,0.0,1
3,555,1.0,1.0,0
3,556,1.0,1.0,1
3,557,1.0,1.0,0
3,558,0.0,0.0,1
3,559,1.0,1.0,1
3,560,0.0,0.0,0
3,561,1.0,1.0,1
3,562,0.0,0.0,1
3,563,1.0,1.0,1
3,564,0.0,0.0,0
3,565,0.0,0.0,1
3,566,0.0,0.0,0
3,567,1.0,1.0,1
3,568,0.0,0.0,0
3,569,1.0,1.0,1
3,570,0.0,0.0,0
3,571,0.0,0.0,0
3,572,0.0,0.0,0
3,573,1.0,1.0,1
3,574,1.0,1.0,0
3,575,0.0,0.0,1
3,576,0.0,0.0,0
3,577,1.0,1.0,0
3,578,1.0,1.0,0
3,579,1.0,1.0,1
3,580,1.0,1.0,1
3,581,1.0,1.0,0
3,582,1.0,1.0,0
3,583,1.0,1.0,1
3,584,1.0,1.0,1
3,585,1.0,1.0,1
3,586,1.0,1.0,1
3,587,1.0,1.0,1
3,588,0.0,0.0,1
3,589,0.0,0.0,1
3,590,1.0,1.0,1
3,591,1.0,1.0,1
3,592,0.0,0.0,1
3,593,0.0,0.0,1
3,594,1.0,1.0,0
3,595,,,0
3,596,,,1
3,597,,,1
3,598,,,0
3,599,,,0
3,600,,,1
